source,target,sim
52,109,0.822604775428772
52,110,0.8390838503837585
52,132,0.869720458984375
52,137,0.8479524254798889
52,143,0.8437228202819824
52,175,0.9106322526931763
52,178,0.7857294082641602
52,190,0.8159362077713013
53,54,0.842352032661438
53,57,0.856684684753418
53,74,0.7606069445610046
53,89,0.8029207587242126
53,96,0.7801841497421265
53,97,0.8064780831336975
53,100,0.8742678165435791
53,106,0.8182419538497925
53,109,0.8198771476745605
53,112,0.837459921836853
53,119,0.8540709018707275
53,120,0.8027012348175049
53,137,0.8335229158401489
53,143,0.8387947082519531
53,168,0.8188501596450806
53,180,0.7903345227241516
53,181,0.8372708559036255
53,190,0.8631865382194519
53,194,0.8279839754104614
54,57,0.8562071919441223
54,64,0.836415708065033
54,65,0.8240916132926941
54,82,0.8322741985321045
54,86,0.745735764503479
54,89,0.8152953386306763
54,97,0.8479795455932617
54,99,0.8544043302536011
54,102,0.7764126062393188
54,103,0.7555971145629883
54,104,0.7821987867355347
54,109,0.8246451616287231
54,111,0.8044196963310242
54,112,0.8344000577926636
54,119,0.8626154661178589
54,121,0.7383517026901245
54,140,0.8454946279525757
54,141,0.7761110067367554
54,143,0.8548597097396851
54,154,0.8183771371841431
54,155,0.8777954578399658
54,178,0.7834399938583374
54,181,0.8133071660995483
54,185,0.8045648336410522
54,190,0.8110268712043762
55,65,0.8062615990638733
55,96,0.797199010848999
55,97,0.7736974358558655
55,99,0.7525541186332703
55,102,0.7950845956802368
55,103,0.8895938396453857
55,104,0.7945842742919922
55,107,0.8462128639221191
55,129,0.7770367860794067
55,181,0.7539998292922974
56,65,0.7352142333984375
56,72,0.7830901741981506
56,73,0.7956607341766357
56,88,0.7623357176780701
56,94,0.9029674530029297
56,99,0.7754883766174316
56,142,0.7184644341468811
56,145,0.7598828673362732
56,153,0.7444158792495728
56,156,0.7384874820709229
56,158,0.7812686562538147
56,180,0.7449877262115479
56,182,0.8765316009521484
57,63,0.8701844811439514
57,64,0.8299323916435242
57,66,0.8610870838165283
57,70,0.8031152486801147
57,71,0.8240953683853149
57,74,0.7406635880470276
57,80,0.8370999693870544
57,82,0.8200622200965881
57,83,0.8225696682929993
57,99,0.8189106583595276
57,100,0.8474621772766113
57,105,0.8065508604049683
57,106,0.8163700699806213
57,109,0.8743422031402588
57,110,0.8458123207092285
57,119,0.842365562915802
57,120,0.8237277269363403
57,121,0.7428025007247925
57,123,0.7173082828521729
57,140,0.8509450554847717
57,143,0.8483871221542358
57,147,0.840965986251831
57,154,0.8140658140182495
57,181,0.8154494762420654
57,190,0.8581941723823547
58,62,0.801895797252655
58,68,0.6871905326843262
58,86,0.7444508671760559
58,122,0.6788914203643799
58,125,0.7358123064041138
58,135,0.7651808261871338
58,136,0.7647234201431274
58,139,0.7704088687896729
58,140,0.8272732496261597
58,143,0.7782191634178162
58,155,0.7838419079780579
58,191,0.7496293783187866
58,199,0.7494205236434937
59,82,0.8182687759399414
59,100,0.8231570720672607
59,110,0.8437933921813965
59,119,0.8446716666221619
59,123,0.688376784324646
59,126,0.819466769695282
59,127,0.840474009513855
59,137,0.8702988624572754
59,140,0.8324251174926758
59,143,0.8411834836006165
59,155,0.839350163936615
59,162,0.8368812799453735
59,180,0.7990397214889526
